surveyid,country,year,sex,agegr,prev,se,ci_l,ci_u,var,n,deff,deff15to49,ISO
MZ2015AIS,Mozambique,2015,male,15-19,0.0146908331483976,0.00480945675985512,0.00769101561234046,0.0278823806036604,2.31308743249161e-05,1031,1.6475240566449,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,20-24,0.0536376711438876,0.010293562226321,0.0366227102959611,0.0779184314952302,0.000105957423307143,743,1.5509323139311,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,25-29,0.136529956206251,0.0169738992583609,0.106402532839155,0.173531268502075,0.000288113256032984,598,1.46146762231952,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,30-34,0.150683975003504,0.019034089453174,0.116877167708823,0.192141877422448,0.000362296561311431,509,1.44093903852138,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,35-39,0.17593482891713,0.0197573804423656,0.140287202482872,0.218340175565696,0.000390354081944373,370,0.996201214876736,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,40-44,0.17089385079139,0.0206348462630606,0.133934043237163,0.215514894429458,0.000425796880300147,376,1.1299357460144,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,45-49,0.136509224763173,0.0213576966926369,0.0995446728693247,0.184389280270514,0.000456151208014673,317,1.22672831296785,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,50-54,0.142743998455504,0.023733999862752,0.101923805769646,0.196338461808026,0.000563302749485111,256,1.17845619650116,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,male,55-59,0.0777190140452167,0.0190997168604896,0.0473774760463393,0.124943350776899,0.000364799184150873,217,1.10439149799032,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,15-19,0.0653915014195686,0.00921492991678168,0.0494276737070705,0.0860445176607929,8.49149333711981e-05,1369,1.90211375604287,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,20-24,0.132801307465378,0.0116155746838486,0.111551553244645,0.157381925408378,0.000134921575236065,1220,1.42928971463673,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,25-29,0.162246954837732,0.0135832150168691,0.137246790204228,0.190793945631504,0.000184503730194498,938,1.27325508631566,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,30-34,0.216406251130544,0.017193288793065,0.184459935819798,0.252174511867463,0.000295609179521735,745,1.29871370737336,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,35-39,0.2343469066042,0.017791620325833,0.20113725025193,0.271178477787125,0.000316541753818593,766,1.35135205753736,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,40-44,0.187041558184691,0.0177637799189127,0.154531417895847,0.224574441798863,0.000315551877007566,597,1.23890681523894,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,45-49,0.169360049224512,0.0195066828435106,0.134299383955857,0.211339282065369,0.00038051067555731,482,1.30373731988062,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,50-54,0.135630145061951,0.0187186617890826,0.102755328414137,0.176948462881504,0.00035038829917406,399,1.19252269263028,3.23354028176065,MZ
MZ2015AIS,Mozambique,2015,female,55-59,0.114307251079918,0.0188153887811059,0.0820852761422107,0.157014134206721,0.000354018854984167,312,1.09099840887171,3.23354028176065,MZ
NI2006DHS,Niger,2006,male,15-19,2.67943114774896e-12,0,2.36245081414479e-12,3.03894211576461e-12,0,640,0,1.39777906785023,NI
NI2006DHS,Niger,2006,male,20-24,0.00566552694649514,0.00358914305120917,0.00162039204623687,0.0196105535536314,1.2881947842043e-05,472,1.07932125358968,1.39777906785023,NI
NI2006DHS,Niger,2006,male,25-29,0.000642491159648658,0.000644030012013797,8.9014932103065e-05,0.00462146108384695,4.14774656374491e-07,419,0.27066880081888,1.39777906785023,NI
NI2006DHS,Niger,2006,male,30-34,0.0124487530765273,0.00549260778163903,0.0051974323659822,0.0295167486912538,3.01687402429217e-05,365,0.895704066170864,1.39777906785023,NI
NI2006DHS,Niger,2006,male,35-39,0.0264133617642943,0.0100372941449803,0.0124089050685206,0.055337378820181,0.000100747273752856,331,1.2967701711237,1.39777906785023,NI
NI2006DHS,Niger,2006,male,40-44,0.00642353572566118,0.00329375982246461,0.00233021051203902,0.0175806237985535,1.08488537680821e-05,328,0.55754799678507,1.39777906785023,NI
NI2006DHS,Niger,2006,male,45-49,0.0105429774738442,0.00665675524204513,0.00301626618181788,0.0361702428918217,4.43123903524953e-05,287,1.21912113630197,1.39777906785023,NI
NI2006DHS,Niger,2006,male,50-54,0.000705243995442887,0.000706003733810018,9.75280390630166e-05,0.0050805141379081,4.98441272153687e-07,235,0.166206824660954,1.39777906785023,NI
NI2006DHS,Niger,2006,male,55-59,0.00500613281198381,0.00312170781136654,0.00144981207557397,0.0171362360343425,9.74505965954685e-06,155,0.303244846721913,1.39777906785023,NI
NI2006DHS,Niger,2006,female,15-19,2.68491897426419e-12,0,2.44674999955825e-12,2.94627154374791e-12,0,875,0,1.39777906785023,NI
NI2006DHS,Niger,2006,female,20-24,0.0102181423456448,0.00380763169135434,0.00489692359971018,0.0211984595784311,1.44980590970059e-05,809,1.15970345178013,1.39777906785023,NI
NI2006DHS,Niger,2006,female,25-29,0.00647688254102842,0.00243257668667782,0.00308829842002009,0.0135330615656458,5.91742933656845e-06,820,0.754054845278699,1.39777906785023,NI
NI2006DHS,Niger,2006,female,30-34,0.0114244687267644,0.00501940983613776,0.00479459399336091,0.0269735343032535,2.51944751031165e-05,643,1.4344004662235,1.39777906785023,NI
NI2006DHS,Niger,2006,female,35-39,0.0136698106337983,0.00622183436951413,0.00555506176995669,0.0332422088977457,3.87112229216673e-05,549,1.57624750169434,1.39777906785023,NI
NI2006DHS,Niger,2006,female,40-44,0.00516681924927008,0.00326160389788563,0.00148507077190306,0.0178134245956463,1.06380599867027e-05,414,0.856819309390301,1.39777906785023,NI
NI2006DHS,Niger,2006,female,45-49,0.000531808820268288,0.000532926513552239,7.36784422298184e-05,0.00382767588172607,2.84010668846945e-07,331,0.176863467545852,1.39777906785023,NI
NI2012DHS,Niger,2012,male,15-19,2.71737761242624e-12,0,2.39178068747859e-12,3.0872985667843e-12,0,639,0,1.17808806916572,NI
NI2012DHS,Niger,2012,male,20-24,2.71930173356094e-12,0,2.35347954105115e-12,3.14198691306423e-12,0,377,0,1.17808806916572,NI
